Sample	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate	HTSeq Count_mqc-generalstats-htseq_count-percent_assigned	HTSeq Count_mqc-generalstats-htseq_count-assigned	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
101_L001	99.46														
101_L002	99.46														
101_L003	99.46														
102_L001	99.44														
102_L002	99.44														
102_L003	99.44														
103_L001	99.42														
103_L002	99.41														
103_L003	99.41														
104_L001	99.38														
104_L002	99.38														
104_L003	99.38														
105_L001	99.24														
105_L002	99.24														
105_L003	99.23														
106_L001	99.29														
106_L002	99.29														
106_L003	99.29														
107_L001	99.28														
107_L002	99.27														
107_L003	99.27														
108_L001	97.85														
108_L002	97.83														
108_L003	97.83														
109_L001	99.39														
109_L002	99.38														
109_L003	99.38														
110_L001	99.31														
110_L002	99.3														
110_L003	99.3														
111_L001	99.25														
111_L002	99.26														
111_L003	99.25														
112_L001	99.26														
112_L002	99.26														
112_L003	99.25														
113_L001	99.28														
113_L002	99.28														
113_L003	99.28														
114_L001	98.57														
114_L002	98.57														
114_L003	98.57														
115_L001	98.63														
115_L002	98.64														
115_L003	98.64														
116_L001	93.78														
116_L002	93.79														
116_L003	93.76														
117_L001	99.31														
117_L002	99.31														
117_L003	99.3														
118_L001	99.23														
118_L002	99.23														
118_L003	99.22														
P9503_101		90.92256003402076	16702437												
P9503_101_MRG_STAT				0.0008555297	4184764.0	36484832.0	99.45955470919512	95.86530401860432	0.021026040231513794	36683084.0					
P9503_101_S1_L001				0.0007079997	1392821.0	12101673.0	99.46348920641574	95.86243060093122	0.019520093367688698	12166950.0					
P9503_101_S1_L001_R1_001											65.96547255876975	41.0	126.0	18.181818181818183	6453207.0
P9503_101_S1_L001_R2_001											65.56084702997083	41.0	126.0	18.181818181818183	6453207.0
P9503_101_S1_L002				0.0007374539	1395535.0	12098032.0	99.460115020904	95.87997141001975	0.020232327296410255	12163702.0					
P9503_101_S1_L002_R1_001											65.85540733272288	41.0	126.0	18.181818181818183	6455398.0
P9503_101_S1_L002_R2_001											65.18409674892	41.0	126.0	18.181818181818183	6455398.0
P9503_101_S1_L003				0.001117015	1396408.0	12285127.0	99.45512754087616	95.8536909978537	0.02329096003119062	12352432.0					
P9503_101_S1_L003_R1_001											65.40223454087777	41.0	126.0	18.181818181818183	6555395.0
P9503_101_S1_L003_R2_001											65.43665608300793	41.0	126.0	18.181818181818183	6555395.0
P9503_102		90.76963794401087	18982963												
P9503_102_MRG_STAT				0.00088355	4872952.0	41511491.0	99.4376143725046	95.15992639916585	0.023796140234434382	41746266.0					
P9503_102_S2_L001				0.0007358867	1624059.0	13770274.0	99.44004166433176	95.15691138588208	0.021794050411992765	13847816.0					
P9503_102_S2_L001_R1_001											67.4270504938475	41.0	126.0	18.181818181818183	7385403.0
P9503_102_S2_L001_R2_001											67.17909934510294	41.0	126.0	18.181818181818183	7385403.0
P9503_102_S2_L002				0.000766738	1625771.0	13778468.0	99.43718645477408	95.16688757455552	0.023988821382440267	13856454.0					
P9503_102_S2_L002_R1_001											67.69050525583069	41.0	126.0	27.27272727272727	7393440.0
